Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,WAR,Unnamed: 30
1977,23,SEA,AL,89.0,317.0,305.0,32.0,74.0,9.0,2.0,7.0,30.0,2.0,3.0,5.0,26.0,0.243,0.259,0.354,0.613,66.0,108.0,9.0,2.0,4.0,1.0,0.0,D5H/3,,-1.1,
1953,26,PIT,NL,105,366,310,48,66,7,8,3,31,15,14.0,51.0,53.0,0.213,0.332,0.316,0.648,71.0,98,11.0,4.0,1.0,,0.0,8H97,,0.0,
1951,28,SLB,AL,61.0,191.0,160.0,24.0,34.0,5.0,0.0,5.0,17.0,1.0,1.0,26.0,30.0,0.213,0.323,0.338,0.66,76.0,54.0,3.0,0.0,3.0,,0.0,6H/4,,-0.3,
1978,21,PIT,NL,56.0,153.0,135.0,16.0,28.0,2.0,0.0,6.0,14.0,3.0,1.0,13.0,20.0,0.207,0.285,0.356,0.64,75.0,48.0,2.0,2.0,0.0,1.0,3.0,5/H6,,5.5,
1947,22,NYY,AL,83,306,293,41,82,15,3,11,54,0,1,13,12,.280,.310,.464,.775,115,136,7,0,0,,6,279H,MVP-15,59.5,
1936,28,BRO,NL,105.0,284.0,267.0,16.0,64.0,10.0,1.0,1.0,13.0,1.0,0.0,14.0,35.0,0.24,0.28,0.296,0.576,55.0,79.0,8.0,1.0,1.0,,3.0,*2,,-3.6,
2003,25,KCR,AL,158.0,635.0,567.0,92.0,163.0,28.0,7.0,17.0,73.0,21.0,5.0,29.0,100.0,0.287,0.338,0.451,0.789,101.0,256.0,13.0,18.0,13.0,8.0,3.0,*6,RoY-1,1.0,
1989,24,ATL,NL,81.0,143.0,136.0,7.0,36.0,4.0,0.0,2.0,9.0,0.0,1.0,7.0,32.0,0.265,0.301,0.338,0.639,82.0,46.0,2.0,0.0,0.0,0.0,1.0,H9/7,,7.4,
1965,24,CHW,AL,157.0,518.0,472.0,51.0,103.0,17.0,4.0,12.0,42.0,4.0,2.0,28.0,96.0,0.218,0.268,0.347,0.615,79.0,164.0,6.0,5.0,10.0,3.0,5.0,*8/H,,15.3,
1948,26,DET,AL,87.0,301.0,256.0,46.0,68.0,8.0,1.0,0.0,16.0,1.0,3.0,37.0,23.0,0.266,0.358,0.305,0.663,75.0,78.0,4.0,0.0,8.0,,0.0,64H,,-1.8,
2012,27,DET,AL,94.0,330.0,291.0,44.0,75.0,10.0,6.0,2.0,29.0,21.0,0.0,25.0,80.0,0.258,0.33,0.354,0.684,85.0,103.0,4.0,7.0,6.0,1.0,0.0,78H/9D,,0.8,
