Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,WAR,Unnamed: 30
1996,26,KCR,AL,110.0,370.0,337.0,36.0,102.0,24.0,1.0,6.0,47.0,13.0,4.0,26.0,47.0,0.303,0.351,0.433,0.784,98.0,146.0,10.0,1.0,2.0,4.0,4.0,5H4/3D,,21.4,
1976,28,MIN,AL,153,531,475,55,127,18,4,1,34,3,5,28,38,0.267,0.317,0.328,0.646,88.0,156,6.0,8,17,3,0.0,*4,,3.8,
1971,22,WSA,AL,75.0,249.0,215.0,27.0,47.0,11.0,0.0,2.0,13.0,1.0,1.0,24.0,56.0,0.219,0.298,0.298,0.595,75.0,64.0,3.0,1.0,7.0,2.0,2.0,4H,,11.6,
1976,21,NYY,AL,125,500,430,59,115,15,4,1,40,37,12,58,39,.267,.356,.328,.684,103,141,10,3,6,3,5,*4/H,AS,65.9,
1962,24,HOU,NL,71.0,239.0,218.0,26.0,51.0,6.0,8.0,4.0,24.0,2.0,2.0,14.0,43.0,0.234,0.287,0.39,0.677,86.0,85.0,2.0,3.0,2.0,2.0,5.0,2H,,0.3,
2004,28,SFG,NL,78.0,78.0,68.0,13.0,17.0,6.0,0.0,1.0,11.0,2.0,2.0,6.0,20.0,0.25,0.32,0.382,0.702,81.0,26.0,2.0,1.0,3.0,0.0,0.0,6H4/57,,1.0,
1952,31,TOT,AL,76.0,123.0,116.0,10.0,26.0,10.0,0.0,0.0,13.0,0.0,0.0,6.0,21.0,0.224,0.268,0.31,0.579,61.0,36.0,2.0,1.0,0.0,,2.0,H9,,0.1,
2009,22,STL,NL,147.0,520.0,474.0,72.0,119.0,22.0,2.0,16.0,52.0,3.0,1.0,36.0,95.0,0.251,0.307,0.407,0.714,89.0,193.0,5.0,3.0,5.0,2.0,3.0,*8H/79,RoY-8,20.2,
1970,26,MIN,AL,69.0,171.0,149.0,19.0,40.0,7.0,2.0,5.0,22.0,0.0,0.0,15.0,51.0,0.268,0.363,0.443,0.806,119.0,66.0,1.0,7.0,0.0,0.0,2.0,2H,,0.4,
1982,25,PIT,NL,162.0,703.0,647.0,79.0,182.0,30.0,7.0,7.0,63.0,16.0,7.0,36.0,34.0,0.281,0.318,0.382,0.7,92.0,247.0,8.0,1.0,13.0,5.0,1.0,*4,RoY-2,24.2,
1983,25,STL,NL,56.0,117.0,104.0,5.0,22.0,4.0,0.0,3.0,14.0,1.0,0.0,10.0,27.0,0.212,0.278,0.337,0.615,70.0,35.0,3.0,0.0,2.0,1.0,1.0,5H,,1.0,
1985,25,MIL,AL,48,200,181,29,48,9,5,1,21,0,0,14,23,.265,.318,.387,.705,93,70,6,1,2,2,0,7/54H9D,,10.9,
1992,28,MIN,AL,73.0,168.0,137.0,15.0,26.0,7.0,1.0,1.0,16.0,3.0,2.0,23.0,26.0,0.19,0.311,0.277,0.588,65.0,38.0,0.0,1.0,7.0,0.0,0.0,654/H98D7,,10.0,
2013,29,NYM,NL,50.0,151.0,135.0,17.0,29.0,7.0,0.0,6.0,19.0,0.0,1.0,13.0,49.0,0.215,0.28,0.4,0.68,92.0,54.0,1.0,0.0,1.0,2.0,1.0,2H/D1,,1.5,
2011,24,BOS,AL,87.0,278.0,254.0,41.0,71.0,18.0,3.0,7.0,28.0,1.0,2.0,19.0,50.0,0.28,0.327,0.457,0.784,109.0,116.0,1.0,1.0,0.0,4.0,1.0,97H/8D,,24.7,
2003,26,PIT,NL,56.0,248.0,230.0,36.0,76.0,16.0,5.0,3.0,19.0,7.0,3.0,14.0,18.0,0.33,0.374,0.483,0.857,120.0,111.0,1.0,2.0,2.0,0.0,0.0,8/H,,1.0,
1999,28,FLA,NL,84.0,278.0,242.0,22.0,73.0,9.0,0.0,1.0,27.0,0.0,0.0,26.0,34.0,0.302,0.381,0.351,0.732,93.0,85.0,8.0,5.0,5.0,0.0,2.0,2/H,,6.3,
1983,26,CIN,NL,125.0,531.0,453.0,90.0,112.0,20.0,9.0,17.0,51.0,39.0,14.0,71.0,111.0,0.247,0.352,0.444,0.795,117.0,201.0,6.0,3.0,2.0,2.0,4.0,*7/H,RoY-4,16.3,
2016,23,HOU,AL,45.0,141.0,122.0,11.0,20.0,3.0,0.0,3.0,8.0,0.0,0.0,18.0,48.0,0.164,0.27,0.262,0.532,49.0,32.0,1.0,0.0,0.0,1.0,0.0,3/DH,,-1.5,
1992,26,MON,NL,42.0,88.0,81.0,10.0,14.0,2.0,0.0,5.0,10.0,0.0,0.0,6.0,23.0,0.173,0.239,0.383,0.621,74.0,31.0,3.0,1.0,0.0,0.0,2.0,9H/7,,-0.7,
2006,25,FLA,NL,42,47,41,6,4,0,0,0,0,3,1,2,10,0.098,0.178,0.098,0.275,-25.0,4,1,2,2,0,1,8H/7,,-0.6,
1962,29,NYY,AL,88,48,43,17,13,2,1,1,4,2,1,4,7,.302,.362,.465,.827,123,20,1,0,1,0,1,H879,,0.6,
1986,23,MIN,AL,68,185,165,13,39,6,1,2,9,1,0,16,19,.236,.308,.321,.629,71,53,2,1,3,0,0,2/H,,4.4,
2005,24,SEA,AL,141.0,544.0,488.0,61.0,124.0,33.0,3.0,3.0,45.0,12.0,11.0,48.0,74.0,0.254,0.322,0.352,0.675,84.0,172.0,10.0,2.0,4.0,2.0,1.0,*8H,,2.1,
1988,25,BOS,AL,109.0,400.0,338.0,60.0,99.0,23.0,1.0,1.0,28.0,1.0,3.0,45.0,21.0,0.293,0.38,0.376,0.756,110.0,127.0,5.0,4.0,11.0,2.0,1.0,64/H5D,RoY-3,15.9,
1940,21,BRO,NL,84,361,312,58,85,8,4,5,28,15,8,45,42,.272,.366,.372,.738,98,116,1,1,3,,2,6/H,MVP-26,68.4,
1997,24,CIN,NL,128.0,437.0,397.0,48.0,87.0,15.0,0.0,4.0,26.0,25.0,7.0,31.0,82.0,0.219,0.284,0.287,0.571,49.0,114.0,1.0,5.0,4.0,0.0,2.0,*6H/45,,6.3,
1967,25,MIN,AL,95.0,110.0,101.0,13.0,25.0,5.0,0.0,4.0,20.0,0.0,0.0,8.0,17.0,0.248,0.3,0.416,0.716,103.0,42.0,1.0,0.0,0.0,1.0,2.0,H37,,2.2,
1954,24,CLE,AL,65,208.0,180.0,21.0,45.0,5.0,0.0,2.0,24.0,0.0,2.0,19.0,16.0,0.25,0.333,0.311,0.644,77.0,56.0,5.0,4.0,4.0,1.0,2.0,5H/4,,-0.1,
1949,31,CHC,NL,108.0,407.0,386.0,43.0,108.0,18.0,2.0,3.0,34.0,4.0,2.0,13.0,32.0,0.28,0.305,0.36,0.665,81.0,139.0,9.0,1.0,7.0,,0.0,39/H,,0.2,
1966,23,CAL,AL,89.0,361.0,319.0,48.0,92.0,5.0,4.0,16.0,44.0,8.0,4.0,27.0,61.0,0.288,0.367,0.48,0.846,145.0,153.0,6.0,13.0,1.0,1.0,3.0,78/H,MVP-21,13.9,
1990,26,TEX,AL,64.0,111.0,100.0,5.0,26.0,9.0,1.0,2.0,15.0,0.0,1.0,10.0,22.0,0.26,0.333,0.43,0.763,113.0,43.0,3.0,1.0,0.0,0.0,0.0,HD/79,,-0.3,
2009,25,BAL,AL,104.0,411.0,358.0,49.0,100.0,18.0,2.0,15.0,45.0,8.0,2.0,47.0,77.0,0.279,0.365,0.466,0.831,116.0,167.0,8.0,3.0,0.0,3.0,1.0,7D/H9,,2.8,
1940,21,BRO,NL,58,242,225,34,66,11,4,3,20,2,6,15,33,.293,.338,.418,.755,101,94,4,0,1,,2,59/H68,,24.5,
1973,22,STL,NL,147.0,446.0,426.0,40.0,100.0,20.0,2.0,6.0,42.0,0.0,1.0,9.0,25.0,0.235,0.256,0.333,0.589,62.0,142.0,18.0,4.0,4.0,3.0,2.0,*5H/6,,-3.2,
1998,24,PHI,NL,142.0,546.0,494.0,45.0,121.0,25.0,3.0,5.0,41.0,9.0,5.0,33.0,87.0,0.245,0.293,0.338,0.631,65.0,167.0,9.0,3.0,10.0,6.0,4.0,*6/H,,-0.5,
1975,22,CAL,AL,147.0,629.0,569.0,82.0,147.0,17.0,5.0,1.0,46.0,34.0,21.0,45.0,55.0,0.258,0.311,0.311,0.622,83.0,177.0,15.0,0.0,12.0,3.0,1.0,*4,,14.6,
1968,24,MIN,AL,42,106,97,16,21,5,2,3,13,0,0,9,42,0.216,0.283,0.402,0.685,101.0,39,2.0,0,0,0,1.0,6/H,,0.6,
1953,28,NYY,AL,61.0,137.0,121.0,19.0,38.0,6.0,3.0,2.0,13.0,0.0,1.0,13.0,31.0,0.314,0.385,0.463,0.848,132.0,56.0,2.0,1.0,2.0,,0.0,7H/89,,0.4,
1996,19,FLA,NL,106.0,471.0,431.0,68.0,133.0,18.0,3.0,5.0,31.0,16.0,2.0,33.0,68.0,0.309,0.358,0.399,0.757,103.0,172.0,12.0,2.0,2.0,3.0,0.0,6,RoY-2,32.4,
1993,31,FLA,NL,103.0,290.0,263.0,27.0,67.0,9.0,2.0,2.0,30.0,0.0,2.0,21.0,31.0,0.255,0.314,0.327,0.641,70.0,86.0,8.0,2.0,3.0,1.0,1.0,4H5/7,,-0.5,
1942,24,WSH,AL,81,294,259,30,62,11,1,2,23,6,1,33,30,.239,.328,.313,.640,81,81,6,1,1,,0,456/H,,0.1,
2005,24,LAD,NL,129.0,301.0,276.0,43.0,61.0,15.0,3.0,8.0,30.0,5.0,0.0,16.0,80.0,0.221,0.281,0.384,0.665,74.0,106.0,7.0,7.0,2.0,0.0,1.0,*89H7/D,,1.2,
1965,24,NYY,AL,79.0,245.0,218.0,34.0,48.0,7.0,4.0,12.0,28.0,1.0,1.0,25.0,57.0,0.22,0.298,0.454,0.752,112.0,99.0,2.0,0.0,0.0,2.0,4.0,8H/9,,6.5,
1953,24,STL,NL,153.0,614.0,567.0,75.0,156.0,25.0,4.0,15.0,66.0,3.0,6.0,33.0,71.0,0.275,0.325,0.413,0.738,91.0,234.0,14.0,9.0,5.0,,3.0,*8/H,RoY-4,5.3,
1949,24,PIT,NL,72,274,232,41,58,11,0,12,40,3,3,35,26,.250,.358,.453,.811,114,105,8,4,3,,1,89H/3,,1.3,
2005,26,TOT,NL,66.0,126.0,115.0,15.0,27.0,5.0,1.0,3.0,8.0,0.0,0.0,11.0,29.0,0.235,0.302,0.374,0.676,75.0,43.0,5.0,0.0,0.0,0.0,0.0,H97,,-0.5,
1969,26,BAL,AL,95.0,226.0,190.0,27.0,47.0,10.0,3.0,4.0,25.0,6.0,1.0,28.0,28.0,0.247,0.338,0.395,0.733,104.0,75.0,6.0,0.0,4.0,4.0,1.0,7H98,,20.0,
1962,28,WSA,AL,109,372,340,36,97,11,2,8,37,2,0.0,26,21,0.285,0.334,0.4,0.734,97.0,136,8.0,0,4,2,4.0,2H,,1.4,
2011,23,MIN,AL,117.0,481.0,450.0,56.0,120.0,9.0,5.0,0.0,30.0,34.0,9.0,26.0,41.0,0.267,0.31,0.309,0.619,72.0,139.0,7.0,2.0,3.0,0.0,1.0,87H/9D,,7.9,
1978,25,OAK,AL,152.0,553.0,521.0,49.0,141.0,21.0,3.0,16.0,46.0,0.0,1.0,26.0,55.0,0.271,0.303,0.415,0.718,106.0,216.0,12.0,0.0,2.0,4.0,5.0,*3H/D,,5.1,
2008,25,NYM,NL,49,121,110,13,24,0,0,1,3,2,0,4,20,0.218,0.259,0.245,0.504,35.0,27,2,2,5,0,0,4H,,-0.3,
1991,27,MON,NL,83.0,229.0,207.0,11.0,45.0,9.0,0.0,0.0,13.0,2.0,4.0,19.0,51.0,0.217,0.285,0.261,0.546,56.0,54.0,3.0,1.0,1.0,1.0,2.0,2/H,,0.4,
2003,20,NYM,NL,69,292,274,47,84,12,4,5,32,13,3,13,36,.307,.334,.434,.769,102,119,1,0,2,3,0,6,RoY-8,37.4,
1943,23,NYG,NL,40,136,125,13,32,4,2,0,13,2,1,4,12,.256,.290,.320,.610,76,40,1,2,4,,1,3/5H,,2.0,
2003,25,COL,NL,53,123,116,13,30,7,1,2,7,2,1,5,19,.259,.287,.388,.675,64,45,3,0,1,1,0,9H7/8,,-0.6,
2018,23,DET,AL,100,219,212,35,47,5,3,1,12,9,1,5,46,0.222,0.239,0.288,0.526,42.0,61,4,0,1,1,0,H7D8/9,,1.0,
1977,24,SEA,AL,135.0,455.0,420.0,41.0,104.0,12.0,3.0,4.0,28.0,6.0,6.0,15.0,23.0,0.248,0.277,0.319,0.596,63.0,134.0,8.0,3.0,15.0,2.0,1.0,*6/H,,13.1,
1978,25,SDP,NL,57,102,87,8,22,2,0,0,10,1,0,15,14,0.253,0.363,0.276,0.639,89.0,24,0.0,0,0,0,2.0,H7/9,,-0.3,
1985,24,SEA,AL,67.0,122.0,104.0,15.0,15.0,3.0,1.0,0.0,6.0,3.0,2.0,17.0,14.0,0.144,0.264,0.192,0.457,28.0,20.0,0.0,0.0,1.0,0.0,0.0,4H,,15.8,
2007,23,ARI,NL,111.0,414.0,366.0,62.0,102.0,20.0,4.0,17.0,62.0,0.0,1.0,37.0,129.0,0.279,0.349,0.495,0.843,109.0,181.0,5.0,5.0,1.0,5.0,4.0,5/H49,,6.8,
1984,25,LAD,NL,73.0,262.0,240.0,24.0,62.0,12.0,2.0,2.0,24.0,7.0,5.0,14.0,38.0,0.258,0.3,0.35,0.65,84.0,84.0,6.0,1.0,4.0,2.0,0.0,978H,,5.7,
1986,27,PHI,NL,43.0,132.0,126.0,8.0,27.0,4.0,0.0,3.0,10.0,0.0,0.0,5.0,30.0,0.214,0.242,0.317,0.56,52.0,40.0,4.0,0.0,0.0,1.0,0.0,2/H,,-2.1,
1965,23,KCA,AL,90.0,308.0,270.0,34.0,64.0,11.0,3.0,1.0,22.0,9.0,2.0,36.0,41.0,0.237,0.327,0.311,0.638,84.0,84.0,10.0,0.0,2.0,0.0,1.0,7/H95,,0.4,
1952,25,NYG,NL,67.0,200.0,176.0,34.0,44.0,8.0,1.0,10.0,36.0,1.0,0.0,23.0,33.0,0.25,0.34,0.477,0.817,123.0,84.0,5.0,1.0,0.0,,2.0,7H/8,,3.8,
1991,22,HOU,NL,44.0,152.0,136.0,7.0,29.0,3.0,1.0,1.0,12.0,2.0,2.0,14.0,26.0,0.213,0.289,0.272,0.562,64.0,37.0,3.0,1.0,0.0,1.0,3.0,9/H,,-0.3,
2010,27,DET,AL,54.0,213.0,191.0,30.0,58.0,12.0,3.0,1.0,19.0,0.0,3.0,14.0,16.0,0.304,0.35,0.414,0.763,106.0,79.0,1.0,0.0,7.0,1.0,0.0,4/H,,0.4,
1945,22,STL,NL,83,278,253,27,66,17,3,1,28,0,0,16,33,.261,.313,.364,.676,85,92,8,3,5,,2,2/H,,4.7,
1949,25,STL,NL,40.0,49.0,46.0,3.0,9.0,2.0,1.0,1.0,9.0,0.0,0.0,3.0,7.0,0.196,0.245,0.348,0.593,55.0,16.0,0.0,0.0,0.0,,0.0,H7,,-0.5,
1975,22,BOS,AL,144,613,564,92,174,29,4,22,102,10,5,36,122,0.309,0.35,0.491,0.841,128.0,277,19.0,4,1,8,7.0,7D/H,"MVP-3,RoY-2",47.7,
2007,24,CHW,AL,56.0,206.0,187.0,30.0,43.0,9.0,3.0,6.0,15.0,1.0,3.0,16.0,33.0,0.23,0.289,0.406,0.696,78.0,76.0,5.0,0.0,2.0,1.0,0.0,4/H,,-1.0,
2000,26,BAL,AL,56.0,221.0,199.0,38.0,55.0,14.0,2.0,13.0,36.0,7.0,5.0,15.0,38.0,0.276,0.335,0.563,0.898,127.0,112.0,5.0,4.0,0.0,3.0,3.0,3/DH9,,1.8,
1971,22,CHW,AL,87.0,288.0,260.0,38.0,60.0,7.0,3.0,2.0,17.0,8.0,9.0,20.0,46.0,0.231,0.286,0.304,0.59,66.0,79.0,5.0,1.0,5.0,2.0,0.0,6H8,,-1.4,
1977,23,SDP,NL,146.0,591.0,525.0,79.0,152.0,16.0,11.0,5.0,32.0,56.0,12.0,60.0,80.0,0.29,0.363,0.39,0.754,113.0,205.0,9.0,2.0,2.0,2.0,12.0,*783H/9,RoY-3,18.7,
1933,24,NYG,NL,51.0,92.0,87.0,4.0,17.0,3.0,0.0,0.0,10.0,0.0,0.0,3.0,12.0,0.195,0.222,0.23,0.452,30.0,20.0,5.0,0.0,2.0,,0.0,2H,,2.3,
1957,21,NYY,AL,97,320,305,36,78,11,1,0,19,1,3.0,9,26,0.256,0.274,0.298,0.573,58.0,91,9.0,0,3,3.0,3.0,4/H,AS,8.1,
1989,23,CIN,NL,53.0,140.0,125.0,10.0,21.0,4.0,0.0,2.0,11.0,1.0,0.0,10.0,23.0,0.168,0.234,0.248,0.482,36.0,31.0,3.0,1.0,3.0,1.0,0.0,6H/5,,-0.7,
1982,24,TEX,AL,119.0,435.0,402.0,34.0,97.0,10.0,0.0,3.0,43.0,9.0,1.0,23.0,42.0,0.241,0.281,0.289,0.57,62.0,116.0,13.0,1.0,5.0,4.0,1.0,4D/7H,,-1.5,
2016,25,BAL,AL,85.0,282.0,257.0,32.0,69.0,13.0,0.0,5.0,19.0,4.0,1.0,18.0,54.0,0.268,0.319,0.377,0.696,87.0,97.0,3.0,2.0,3.0,2.0,0.0,978H,,1.4,
1946,25,CHC,NL,111,425,392,44,103,18,3,7,47,3,3,28,54,.263,.314,.378,.691,97,148,9,1,4,,4,*78H9,,-0.9,
1967,31,STL,NL,52,105,99,11,27,8,0,1,14,0,0,4,7,.273,.295,.384,.679,94,38,3,0,0,2,0,H2,,-0.4,
2017,25,MIA,NL,70.0,247.0,228.0,20.0,57.0,13.0,1.0,3.0,31.0,0.0,2.0,12.0,50.0,0.25,0.282,0.355,0.637,73.0,81.0,6.0,0.0,2.0,5.0,2.0,6/H,,0.8,
2008,27,TBR,AL,44,152,135,21,30,7,0,6,24,0,0,12,30,0.222,0.287,0.407,0.694,81.0,55,4,1,2,2,0,2/H7,,-0.1,
1935,25,CIN,NL,142,583,532,73,148,26,8,5,46,8,6,43,32,.278,.334,.385,.720,96,205,7,2,6,,6,*5/H,,8.7,
1946,28,NYG,NL,110,404,360,38,85,9,1,3,31,9,6,36,29,.236,.307,.292,.599,70,105,7,1,5,,3,56/H,,7.6,
1947,33,PIT,NL,109,376,324,57,93,16,4,4,32,1,6,50,39,.287,.384,.398,.782,105,129,9,1,1,,3,9H8/7,,0.4,
1985,24,MIL,AL,116.0,495.0,448.0,54.0,128.0,12.0,7.0,5.0,45.0,2.0,2.0,36.0,54.0,0.286,0.339,0.377,0.717,98.0,169.0,16.0,2.0,6.0,3.0,0.0,*6/HD,RoY-3,6.0,
2004,23,TOR,AL,111.0,460.0,426.0,55.0,122.0,24.0,7.0,1.0,28.0,15.0,3.0,31.0,84.0,0.286,0.338,0.383,0.72,85.0,163.0,14.0,2.0,1.0,0.0,0.0,*9/8H,RoY-5,27.3,
1999,27,SFG,NL,72.0,177.0,150.0,32.0,49.0,9.0,0.0,7.0,29.0,7.0,4.0,24.0,35.0,0.327,0.42,0.527,0.947,145.0,79.0,3.0,1.0,1.0,1.0,1.0,9H7/8,,2.7,
1969,26,KCR,AL,87,208.0,196.0,20.0,44.0,5.0,1.0,1.0,5.0,1.0,3.0,7.0,19.0,0.224,0.262,0.276,0.538,51.0,54.0,6.0,3.0,2.0,0.0,2.0,46H/5,,-1.0,
1987,22,BAL,AL,58.0,257.0,234.0,27.0,72.0,9.0,0.0,2.0,20.0,4.0,1.0,21.0,23.0,0.308,0.363,0.372,0.735,99.0,87.0,3.0,0.0,1.0,1.0,0.0,4,,5.9,
1982,21,BAL,AL,160,655,598,90,158,32,5,28,93,3,3,46,95,.264,.317,.475,.792,115,284,16,3,2,6,3,65/H,"MVP-30,RoY-1",95.9,
1936,26,NYG,NL,96.0,345.0,311.0,42.0,95.0,17.0,2.0,7.0,47.0,1.0,1.0,28.0,15.0,0.305,0.365,0.441,0.805,116.0,137.0,6.0,1.0,5.0,,0.0,8H/9,,6.3,
2001,21,MIN,AL,153.0,619.0,563.0,70.0,150.0,21.0,6.0,7.0,47.0,31.0,11.0,40.0,99.0,0.266,0.319,0.362,0.682,79.0,204.0,15.0,6.0,5.0,5.0,0.0,*4/H,,-1.5,
1976,23,MON,NL,68.0,199.0,185.0,22.0,51.0,11.0,4.0,2.0,19.0,1.0,0.0,13.0,32.0,0.276,0.323,0.411,0.734,104.0,76.0,5.0,0.0,1.0,0.0,1.0,7H9,,2.5,
2003,25,PIT,NL,78,107,95,12,21,5,0,3,10,0,0,8,28,0.221,0.283,0.368,0.651,67.0,35,2,1,1,2,2,3H,,-0.9,
1984,23,LAD,NL,94.0,254.0,227.0,20.0,59.0,12.0,2.0,2.0,17.0,1.0,0.0,21.0,30.0,0.26,0.321,0.357,0.678,93.0,81.0,15.0,1.0,2.0,3.0,5.0,5/H,,0.8,
1952,30,TOT,AL,150.0,595.0,537.0,72.0,136.0,20.0,9.0,7.0,48.0,21.0,9.0,50.0,86.0,0.253,0.319,0.363,0.682,88.0,195.0,4.0,2.0,6.0,,4.0,*8H/7,,6.8,
2003,24,NYY,AL,57.0,185.0,173.0,22.0,46.0,14.0,0.0,7.0,26.0,0.0,0.0,10.0,27.0,0.266,0.304,0.468,0.773,102.0,81.0,8.0,0.0,1.0,1.0,1.0,79/H,,9.2,
1986,22,MON,NL,55.0,187.0,166.0,20.0,34.0,11.0,1.0,0.0,13.0,1.0,1.0,17.0,33.0,0.205,0.285,0.283,0.568,58.0,47.0,1.0,2.0,1.0,1.0,0.0,6/H,,1.2,
2006,29,MIL,NL,46.0,158.0,142.0,16.0,38.0,9.0,0.0,6.0,24.0,0.0,0.0,10.0,21.0,0.268,0.325,0.458,0.783,97.0,65.0,3.0,3.0,1.0,2.0,5.0,2/H,,0.4,
2011,27,MIN,AL,45,114,104,9,15,3,0,1,5,0,0,8,32,.144,.211,.202,.412,15,21,2,1,0,1,0,2/H,,2.4,
1996,22,NYY,AL,46.0,106.0,88.0,17.0,25.0,6.0,1.0,2.0,16.0,6.0,2.0,13.0,26.0,0.284,0.381,0.443,0.824,107.0,39.0,1.0,2.0,1.0,2.0,0.0,987H,,5.6,
2017,28,NYM,NL,73,231,214,27,62,13,1,5,27,1,0,9,32,0.29,0.33,0.43,0.76,103.0,92,4,5,1,2,0,53H4/7,,1.7,
2018,26,MIA,NL,111.0,160.0,139.0,13.0,24.0,3.0,0.0,1.0,9.0,2.0,1.0,19.0,51.0,0.173,0.269,0.216,0.485,37.0,30.0,3.0,0.0,0.0,2.0,3.0,H564/7389,,-1.2,
1971,22,CAL,AL,79,296,268,31,71,12,2,1,12,13,1,19,38,.265,.316,.336,.652,92,90,0,1,8,0,1,89/H7,,32.7,
1938,25,PIT,NL,143.0,617.0,555.0,97.0,167.0,31.0,9.0,23.0,111.0,1.0,3.0,54.0,61.0,0.301,0.368,0.514,0.882,140.0,285.0,16.0,5.0,3.0,,2.0,*7/H,MVP-6,8.0,
1941,23,NYY,AL,133,548,515,65,158,20,9,3,46,14,5,27,36,.307,.343,.398,.741,96,205,13,1,5,,3,*6/H,MVP-20,42.1,
1958,25,MLN,NL,44,147,136,14,42,7,0,3,10,0,0,6,15,.309,.336,.426,.762,108,58,1,0,4,1,0,4H/793,,-1.5,
1961,30,DET,AL,86,253,229,21,51,6,1,2,22,0,0,20,31,.223,.283,.284,.567,51,65,6,0,2,2,3,2/H,,-0.2,
1941,24,BSN,NL,55,181,167,12,36,6,0,0,15,0,2,9,18,.216,.256,.251,.507,47,42,0,0,3,,2,4/5H6,,-0.6,
2006,26,PHI,NL,57,43,41,9,8,0,1,0,1,3,0,0,9,0.195,0.214,0.244,0.458,15.0,10,0,1,1,0,0,H79,,0.0,
1993,25,CHC,NL,62,195,180,23,34,4,1,9,27,0,1,12,48,.189,.251,.372,.624,67,67,2,3,0,0,0,9H7,,-0.6,
1986,22,SDP,NL,101.0,258.0,241.0,34.0,61.0,5.0,2.0,1.0,12.0,14.0,12.0,14.0,29.0,0.253,0.293,0.303,0.596,67.0,73.0,2.0,0.0,2.0,1.0,1.0,4H,,20.5,
2001,23,BAL,AL,75.0,292.0,273.0,42.0,69.0,12.0,3.0,2.0,17.0,12.0,3.0,13.0,36.0,0.253,0.284,0.341,0.624,68.0,93.0,3.0,0.0,3.0,3.0,0.0,6H4/D,,29.5,
1954,24,PIT,NL,134.0,565.0,496.0,47.0,115.0,18.0,7.0,1.0,36.0,6.0,3.0,55.0,49.0,0.232,0.309,0.302,0.612,62.0,150.0,6.0,2.0,9.0,3.0,1.0,*4/H,,0.9,
1964,31,HOU,NL,61.0,143.0,125.0,9.0,23.0,4.0,1.0,1.0,7.0,0.0,1.0,14.0,28.0,0.184,0.27,0.256,0.526,53.0,32.0,2.0,1.0,2.0,1.0,1.0,3H/7,,-0.5,
1972,21,SDP,NL,100.0,443.0,418.0,38.0,102.0,17.0,0.0,5.0,33.0,7.0,2.0,18.0,64.0,0.244,0.275,0.321,0.595,75.0,134.0,5.0,0.0,6.0,1.0,1.0,54/62,,0.4,
1999,27,CLE,AL,41.0,156.0,143.0,26.0,34.0,4.0,0.0,2.0,12.0,11.0,3.0,9.0,16.0,0.238,0.281,0.308,0.589,49.0,44.0,0.0,0.0,3.0,1.0,0.0,8/H7,,9.1,
1975,24,DET,AL,129.0,496.0,447.0,51.0,115.0,17.0,5.0,10.0,38.0,3.0,7.0,36.0,94.0,0.257,0.316,0.385,0.7,95.0,172.0,9.0,4.0,5.0,4.0,1.0,*9/HD,,12.1,
2009,28,ARI,NL,110.0,351.0,305.0,41.0,85.0,17.0,2.0,7.0,25.0,7.0,3.0,40.0,55.0,0.279,0.367,0.416,0.783,103.0,127.0,2.0,3.0,2.0,1.0,1.0,4H57,,5.8,
1982,24,NYY,AL,44,128.0,118.0,16.0,26.0,5.0,0.0,2.0,9.0,0.0,0.0,8.0,19.0,0.22,0.27,0.314,0.583,62.0,37.0,4.0,0.0,2.0,0.0,0.0,64/H5D,,0.8,
1970,23,PIT,NL,117.0,451.0,390.0,69.0,112.0,19.0,4.0,27.0,82.0,4.0,1.0,51.0,98.0,0.287,0.367,0.564,0.931,149.0,220.0,8.0,2.0,1.0,7.0,2.0,3H/57,MVP-27,9.4,
2014,28,TEX,AL,70.0,197.0,177.0,23.0,48.0,9.0,1.0,0.0,21.0,6.0,4.0,17.0,28.0,0.271,0.333,0.333,0.667,87.0,59.0,3.0,0.0,2.0,1.0,0.0,789H/D4,,0.5,
2017,23,TBR,AL,75.0,254.0,218.0,22.0,45.0,7.0,2.0,5.0,19.0,1.0,1.0,29.0,73.0,0.206,0.308,0.326,0.634,74.0,71.0,5.0,4.0,1.0,2.0,0.0,465/D7H,,2.2,
1954,26,PHA,AL,63,173,147,9,27,8,0,0,8,0,0.0,23,25,0.184,0.298,0.238,0.536,48.0,35,2.0,1,2,0.0,1.0,2H,,-1.0,
1943,24,WSH,AL,59,138,120,22,26,4,1,3,14,0,2,17,19,.217,.319,.342,.661,97,41,1,1,0,,0,H5/6,,1.0,
1986,22,MIL,AL,56.0,215.0,181.0,15.0,41.0,8.0,0.0,1.0,21.0,0.0,0.0,33.0,36.0,0.227,0.344,0.287,0.631,73.0,52.0,8.0,0.0,0.0,1.0,1.0,3D/H,,-2.4,
1945,30,NYY,AL,50.0,183.0,160.0,19.0,45.0,6.0,1.0,8.0,24.0,0.0,0.0,21.0,23.0,0.281,0.368,0.481,0.849,142.0,77.0,3.0,1.0,1.0,,3.0,2/H,,12.1,
1967,24,NYY,AL,116,381,342,31,67,6,1,7,29,2,2,28,56,.196,.259,.281,.539,63,96,12,2,5,3,4,987H,,7.6,
1957,20,BAL,AL,50,126,117,13,28,6,1,2,14,1,0,7,10,.239,.286,.359,.645,81,42,4,1,0,1,0,5/H,,78.4,
